ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
2/040/4-5 EXHAUSTSUB	10	F879           	230086         	AB45FC12  	102260	2022-07-02 09:14:42.373	2022-07-02 09:17:15.250	0	010            	1-8 TON   	2022-06-25	2.9464806
2/030/4-5 PWRTRAIN  	20	F879           	230086         	AB45FC08  	102121	2022-07-02 09:52:06.540	2022-07-02 10:02:56.277	0	010            	1-8 TON   	2022-06-25	14.7073
2/140/4-5 MAINLINE  	5	A099           	261084         	AB21010   	600535	2022-07-02 09:53:59.757	2022-07-02 10:01:28.687	0	010            	1-8 TON   	2022-06-05	5.92
2/020/4-5 STRAXLPREP	10	A099           	261084         	AB45FC05  	102254	2022-07-02 10:04:38.867	2022-07-02 10:16:50.130	0	010            	1-8 TON   	2022-06-05	15.7412
2/140/4-5 MAINLINE  	10	A099           	261084         	AB45ML01  	600385	2022-07-02 10:13:22.433	2022-07-02 10:43:00.140	0	010            	1-8 TON   	2022-06-05	28.2
2/015/4-5 TILT SUB  	10	A099           	261084         	AB45FC04  	102332	2022-07-02 10:14:14.020	2022-07-02 10:16:15.877	0	010            	1-8 TON   	2022-06-05	8.49
2/030/4-5 PWRTRAIN  	30	F879           	230086         	AB45FC09  	102258	2022-07-02 10:15:45.187	2022-07-02 10:31:44.713	0	010            	1-8 TON   	2022-06-25	23.0344
2/003/4-5 VALVE ASSY	10	A099           	261090         	AB45FC01  	102233	2022-07-02 10:41:52.180	2022-07-02 11:12:17.733	0	010            	1-8 TON   	2022-07-06	41.01
2/140/4-5 MAINLINE  	30	A099           	261084         	AB45ML03  	102216	2022-07-02 10:45:23.330	2022-07-02 10:57:39.080	0	010            	1-8 TON   	2022-06-05	14.75
2/140/4-5 MAINLINE  	20	A099           	261084         	AB45ML02  	102332	2022-07-02 10:48:14.240	2022-07-02 10:48:43.650	0	010            	1-8 TON   	2022-06-05	9.35
2/140/4-5 MAINLINE  	40	A099           	261084         	AB45ML04  	102235	2022-07-02 10:48:18.460	2022-07-02 11:09:05.773	0	010            	1-8 TON   	2022-06-05	18.2
2/025/4-5 TRANSMNSUB	20	A099           	261090         	AB45FC22  	101678	2022-07-02 10:52:48.310	2022-07-02 10:53:30.767	0	010            	1-8 TON   	2022-07-06	12.88
2/002/4-7 LEVER SUB 	10	A099           	261090         	AB45FC20  	102116	2022-07-02 11:22:35.793	2022-07-02 12:21:22.620	0	010            	1-8 TON   	2022-07-06	14.75
2/027/4-5 WETAXLESUB	10	A099           	261084         	AB45FC11  	101678	2022-07-02 11:26:16.273	2022-07-02 11:27:13.453	0	010            	1-8 TON   	2022-06-05	18.2811
2/140/4-5 MAINLINE  	50	A099           	261084         	AB45ML05  	600478	2022-07-02 12:20:10.173	2022-07-02 12:20:49.477	0	010            	1-8 TON   	2022-06-05	13.5
2/140/4-5 MAINLINE  	60	A099           	261084         	AB45ML06  	102313	2022-07-02 13:22:00.727	2022-07-02 13:55:35.493	0	010            	1-8 TON   	2022-06-05	22.6799
2/060/4-5 OHG/CAB SB	10	A099           	261084         	AB45FC14  	102249	2022-07-02 14:12:27.840	2022-07-02 14:42:35.017	0	010            	1-8 TON   	2022-06-05	18.5
2/060/4-5 OHG/CAB SB	5	A099           	261084         	AB45FC14A 	102249	2022-07-02 14:12:36.170	2022-07-02 14:42:31.283	0	010            	1-8 TON   	2022-06-05	30.23
2/140/4-5 MAINLINE  	70	A099           	261084         	AB45ML07  	600531	2022-07-02 14:50:40.763	2022-07-02 15:03:11.640	0	010            	1-8 TON   	2022-06-05	8.4
